model,source,pc1,pc2
finetune,posterior,4.760048866271973,-0.14305905997753143
finetune,posterior,-3.8362832069396973,-0.2019350826740265
finetune,posterior,-0.5457536578178406,-0.18708188831806183
finetune,posterior,8.125060081481934,-0.13785222172737122
finetune,posterior,-0.34571152925491333,-0.18635670840740204
finetune,posterior,-0.34571152925491333,-0.18635670840740204
finetune,posterior,-0.3679618537425995,-0.18643741309642792
finetune,posterior,3.314309597015381,-0.1506376415491104
finetune,posterior,3.335880756378174,-0.14995600283145905
finetune,posterior,3.3675756454467773,-0.14910347759723663
finetune,posterior,-4.113735675811768,-0.20278720557689667
finetune,posterior,-2.5300064086914062,-0.19552399218082428
finetune,posterior,-12.871689796447754,-0.24290792644023895
finetune,posterior,9.734526634216309,-0.1322905719280243
finetune,posterior,-3.165757179260254,-0.19860117137432098
finetune,posterior,-0.5739263296127319,-0.18718396127223969
finetune,posterior,1.1571171283721924,-0.16293758153915405
finetune,posterior,0.7751880884170532,-0.17340214550495148
finetune,posterior,-5.767707347869873,-0.2102217972278595
finetune,posterior,3.1703410148620605,-0.15260325372219086
finetune,posterior,4.937932968139648,-0.16216419637203217
finetune,posterior,9.10132884979248,-0.14036141335964203
finetune,posterior,9.843292236328125,-0.12986283004283905
finetune,posterior,1.2386445999145508,-0.1837470531463623
finetune,posterior,-5.806132793426514,-0.21028898656368256
finetune,posterior,0.5347483158111572,-0.16455920040607452
finetune,posterior,-2.3468775749206543,-0.18143858015537262
finetune,posterior,1.3696610927581787,-0.17713071405887604
finetune,posterior,-6.032805442810059,-0.21147824823856354
finetune,posterior,0.4807230234146118,-0.18247929215431213
finetune,posterior,-7.274139881134033,-0.21780993044376373
finetune,posterior,-4.929043292999268,-0.20679312944412231
finetune,posterior,-1.7824856042861938,-0.19138456881046295
finetune,posterior,0.8605033159255981,-0.1748572289943695
finetune,posterior,-1.4525816440582275,-0.19132287800312042
finetune,posterior,-0.6238813400268555,-0.1873650997877121
finetune,posterior,-2.3471884727478027,-0.1947287917137146
finetune,posterior,-3.645076274871826,-0.20002247393131256
finetune,posterior,0.7859618663787842,-0.18012401461601257
finetune,posterior,-3.72462797164917,-0.20135071873664856
finetune,posterior,-7.0182600021362305,-0.2168041318655014
finetune,posterior,4.604795932769775,-0.16488300263881683
finetune,posterior,-3.5907349586486816,-0.20095029473304749
finetune,posterior,-1.772068977355957,-0.1914302259683609
finetune,posterior,1.4232627153396606,-0.18132273852825165
finetune,posterior,8.333138465881348,-0.1313190758228302
finetune,posterior,-1.6760269403457642,-0.19240540266036987
finetune,posterior,-1.8036688566207886,-0.1915782392024994
finetune,posterior,4.732897758483887,-0.16068439185619354
finetune,posterior,-7.755664825439453,-0.22005607187747955
finetune,posterior,5.139856815338135,-0.15833836793899536
finetune,posterior,-3.975358486175537,-0.20218321681022644
finetune,posterior,-0.4342842996120453,-0.18667779862880707
finetune,posterior,-5.775755882263184,-0.21025259792804718
finetune,posterior,5.814537048339844,-0.14664766192436218
finetune,posterior,0.3632872700691223,-0.17073437571525574
finetune,posterior,5.155749320983887,-0.1476786732673645
finetune,posterior,-2.5789546966552734,-0.19613415002822876
finetune,posterior,-1.6760269403457642,-0.19240540266036987
finetune,posterior,-1.772068977355957,-0.1914302259683609
finetune,posterior,9.316253662109375,-0.14668038487434387
finetune,posterior,4.836513519287109,-0.1677982360124588
finetune,posterior,9.356016159057617,-0.13632559776306152
finetune,posterior,-4.498684406280518,-0.19422554969787598
finetune,posterior,0.9367431402206421,-0.17349235713481903
finetune,posterior,9.829948425292969,-0.1385079175233841
finetune,posterior,4.435756683349609,-0.16714836657047272
finetune,posterior,4.467728614807129,-0.16075724363327026
finetune,posterior,2.9600987434387207,-0.15917466580867767
finetune,posterior,4.680664539337158,-0.16694477200508118
finetune,posterior,-3.027109146118164,-0.19857913255691528
finetune,posterior,-5.816431045532227,-0.2107641100883484
finetune,posterior,-2.3487396240234375,-0.19520680606365204
finetune,posterior,-4.929043292999268,-0.20679312944412231
finetune,posterior,-1.6669597625732422,-0.19218865036964417
finetune,posterior,3.0036683082580566,-0.15534602105617523
finetune,posterior,1.5558784008026123,-0.15537656843662262
finetune,posterior,-5.3920369148254395,-0.20866088569164276
finetune,posterior,1.1851849555969238,-0.18637549877166748
finetune,posterior,5.1598711013793945,-0.1620972603559494
finetune,posterior,-3.303985118865967,-0.19944840669631958
finetune,posterior,-14.087994575500488,-0.24802453815937042
finetune,posterior,0.9304088354110718,-0.16817545890808105
finetune,posterior,5.267448425292969,-0.14754170179367065
finetune,posterior,2.7733073234558105,-0.1595410704612732
finetune,posterior,-7.756720066070557,-0.22030514478683472
finetune,posterior,-2.3487396240234375,-0.19520680606365204
finetune,posterior,4.83322811126709,-0.1608578860759735
finetune,posterior,-1.7713029384613037,-0.19673754274845123
finetune,posterior,-2.503805160522461,-0.1954936683177948
finetune,posterior,-5.6518731117248535,-0.2097655087709427
finetune,posterior,0.3726407289505005,-0.16849182546138763
